id,genres
ts80610,animation
ts80610,comedy
ts80610,drama
ts32835,drama
ts32835,action
ts32835,comedy
ts32835,crime
ts32835,animation
ts32835,documentation
ts32835,family
ts32835,fantasy
ts20433,action
ts20433,scifi
ts20433,drama
ts20433,fantasy
ts20433,horror
ts20433,thriller
ts20433,animation
ts20433,comedy
ts22244,scifi
ts22244,comedy
ts22244,drama
ts22244,romance
ts22244,thriller
ts22244,animation
ts20429,scifi
ts20429,action
ts20429,animation
ts20429,drama
ts20429,western
ts20429,comedy
ts20429,fantasy
ts20429,romance
ts20429,thriller
ts34087,scifi
ts34087,thriller
ts34087,animation
ts34087,drama
ts34087,fantasy
ts22232,action
ts22232,romance
ts22232,thriller
ts22232,animation
ts22232,drama
ts28014,drama
ts28014,thriller
ts28014,animation
ts28014,horror
ts33772,comedy
ts33772,animation
ts11151,scifi
ts11151,action
ts11151,animation
ts11151,drama
ts11151,fantasy
ts11151,thriller
ts9246,scifi
ts9246,horror
ts9246,family
ts9246,animation
ts9246,action
ts9246,drama
ts9246,fantasy
ts26933,scifi
ts26933,animation
ts26933,drama
ts26933,fantasy
ts26933,horror
ts7708,drama
ts7708,fantasy
ts7708,romance
ts7708,animation
ts27586,scifi
ts27586,action
ts27586,comedy
ts27586,animation
ts27586,fantasy
ts39133,drama
ts39133,comedy
ts39133,romance
ts39133,animation
ts76614,animation
ts22249,animation
ts22249,comedy
ts22249,sport
ts26929,animation
ts26929,comedy
ts26929,romance
ts27050,action
ts27050,comedy
ts27050,animation
ts27050,drama
ts27050,family
ts27050,fantasy
ts27050,horror
ts26925,comedy
ts26925,animation
ts11779,scifi
ts11779,action
ts11779,romance
ts11779,animation
ts32360,drama
ts32360,animation
ts32360,comedy
ts11257,drama
ts11257,animation
ts11257,comedy
ts518,animation
ts518,drama
ts518,fantasy
ts518,action
ts518,comedy
ts15793,comedy
ts15793,drama
ts15793,animation
ts27094,animation
ts27094,comedy
ts27094,fantasy
ts27094,romance
ts27094,scifi
ts27094,action
ts26560,scifi
ts26560,drama
ts26560,animation
ts26560,comedy
ts21213,action
ts21213,scifi
ts21213,fantasy
ts21213,animation
ts21213,comedy
ts14234,action
ts14234,animation
ts14234,fantasy
ts14234,scifi
ts26691,action
ts26691,scifi
ts26691,animation
ts26691,fantasy
ts33799,animation
ts7872,scifi
ts7872,romance
ts7872,animation
ts7872,action
ts7872,fantasy
ts20670,scifi
ts20670,action
ts20670,animation
ts20670,comedy
ts20670,fantasy
ts20997,scifi
ts20997,animation
ts20997,action
ts8677,scifi
ts8677,animation
ts8677,action
ts8677,comedy
ts8677,fantasy
ts27922,comedy
ts27922,animation
ts27922,action
ts27922,fantasy
ts34293,comedy
ts34293,drama
ts34293,romance
ts34293,animation
ts11511,animation
ts12173,scifi
ts12173,war
ts12173,animation
ts12173,action
ts12173,comedy
ts12173,history
ts12173,romance
ts10585,action
ts10585,comedy
ts10585,animation
ts34924,drama
ts34924,comedy
ts34924,animation
ts35044,scifi
ts35044,animation
ts35044,romance
ts28083,comedy
ts28083,animation
ts28083,scifi
ts28083,drama
ts28083,fantasy
ts28083,romance
ts17235,comedy
ts44764,action
ts44764,animation
ts44764,sport
ts26590,comedy
ts26590,sport
ts26590,animation
ts26766,scifi
